date,hour,open,high,low,close,real_volume,tick_volume,spread
2016.06.29,17:45:00,51940,52040,51900,52035,3032,1027,5
2016.06.29,17:30:00,51945,51950,51890,51940,3234,1298,5
2016.06.29,17:15:00,51940,51970,51905,51950,5339,1964,5
2016.06.29,17:00:00,51875,51945,51850,51940,11250,3397,5
2016.06.29,16:45:00,51875,51940,51850,51880,11142,4391,5
2016.06.29,16:30:00,51950,51970,51850,51875,9760,3961,5
2016.06.29,16:15:00,51950,52000,51920,51945,9239,3783,5
2016.06.29,16:00:00,51925,51970,51910,51950,9216,3598,5
2016.06.29,15:45:00,51865,51955,51790,51920,11976,4785,5
2016.06.29,15:30:00,51880,51940,51830,51865,11071,4560,5
2016.06.29,15:15:00,51980,52010,51865,51880,11304,4400,5
2016.06.29,15:00:00,51915,51995,51905,51980,11424,4460,5
2016.06.29,14:45:00,51825,51945,51805,51910,12431,4834,5
2016.06.29,14:30:00,51740,51830,51725,51830,9645,3960,5
2016.06.29,14:15:00,51815,51835,51735,51735,12522,4928,5
2016.06.29,14:00:00,51835,51910,51785,51820,9171,3699,5
2016.06.29,13:45:00,51865,51890,51810,51830,9461,3651,5
2016.06.29,13:30:00,51990,51990,51865,51865,8311,3219,5
2016.06.29,13:15:00,51870,52045,51850,51990,10574,4229,5
2016.06.29,13:00:00,51950,51965,51845,51865,9939,3669,5
2016.06.29,12:45:00,51975,52020,51920,51950,10285,4298,5
2016.06.29,12:30:00,52040,52110,51955,51970,16689,6400,5
2016.06.29,12:15:00,51885,52045,51845,52045,18901,7389,5
2016.06.29,12:00:00,51860,51985,51825,51880,17653,6806,5
2016.06.29,11:45:00,51815,51930,51805,51855,17094,6630,5
2016.06.29,11:30:00,51760,51955,51730,51815,30320,11026,5
2016.06.29,11:15:00,51785,51845,51725,51765,14169,5699,5
2016.06.29,11:00:00,51605,51800,51580,51780,28147,10425,5
2016.06.29,10:45:00,51520,51635,51495,51605,21405,8351,5
2016.06.29,10:30:00,51495,51545,51360,51530,27960,11252,5
2016.06.29,10:15:00,51590,51620,51380,51490,18148,7175,5
2016.06.29,10:00:00,51590,51660,51535,51585,14466,5659,5
2016.06.29,9:45:00,51615,51675,51560,51590,10633,4112,5
2016.06.29,9:30:00,51545,51640,51455,51615,11049,4315,5
2016.06.29,9:15:00,51440,51550,51410,51540,10109,3978,5
2016.06.29,9:00:00,51505,51650,51420,51430,9964,3463,5
2016.06.28,18:00:00,51020,51020,51020,51020,1462,290,5
2016.06.28,17:45:00,50950,50980,50915,50935,2615,976,5
2016.06.28,17:30:00,50975,50985,50940,50955,2920,1086,5
2016.06.28,17:15:00,50930,51000,50875,50970,6881,2137,5
2016.06.28,17:00:00,50850,50935,50825,50925,8272,2929,5
2016.06.28,16:45:00,50765,50940,50750,50850,13553,4869,5
2016.06.28,16:30:00,50880,50920,50760,50760,15149,5298,5
2016.06.28,16:15:00,50975,50990,50830,50885,14425,5503,5
2016.06.28,16:00:00,50910,50995,50865,50975,13047,4491,5
2016.06.28,15:45:00,50820,50980,50780,50910,17783,6632,5
2016.06.28,15:30:00,50760,50885,50750,50815,15304,5931,5
2016.06.28,15:15:00,50610,50845,50605,50755,19478,7631,5
2016.06.28,15:00:00,50710,50730,50555,50610,12228,4907,5
2016.06.28,14:45:00,50640,50730,50610,50705,10143,3864,5
2016.06.28,14:30:00,50555,50660,50520,50640,11079,4519,5
2016.06.28,14:15:00,50755,50765,50545,50555,15946,6135,5
2016.06.28,14:00:00,50805,50815,50670,50765,14029,5375,5
2016.06.28,13:45:00,50825,50870,50750,50805,8889,3569,5
2016.06.28,13:30:00,50805,50910,50740,50825,11184,4512,5
2016.06.28,13:15:00,50870,50950,50725,50805,14647,5672,5
2016.06.28,13:00:00,50920,50970,50840,50870,13045,4693,5
2016.06.28,12:45:00,50780,50960,50780,50915,15354,5987,5
