date,hour,open,high,low,close,real_volume,tick_volume
2016.12.15,10:00:00,59175,59255,58805,58935,61896,24457
2016.12.15,10:30:00,58940,59165,58870,58930,48889,19980
2016.12.15,11:00:00,58935,58975,58720,58845,52798,20197
2016.12.15,11:30:00,58855,59080,58710,59070,54074,19940
2016.12.15,12:00:00,59070,59150,58935,59025,39772,14158
2016.12.15,12:30:00,59025,59050,58750,58800,66689,23851
2016.12.15,13:00:00,58805,59075,58755,59035,39650,14949
2016.12.15,13:30:00,59045,59135,58905,59080,38683,13926
2016.12.15,14:00:00,59075,59295,59075,59160,49310,17468
2016.12.15,14:30:00,59155,59390,59110,59300,41436,14996
2016.12.15,15:00:00,59295,59430,59280,59390,32050,11680
2016.12.15,15:30:00,59390,59390,59235,59370,28433,10405
2016.12.15,16:00:00,59370,59650,59345,59565,44472,15166
2016.12.15,16:30:00,59565,59680,59490,59570,36195,13087
2016.12.15,17:00:00,59565,59785,59405,59630,47860,16552
2016.12.15,17:30:00,59625,59805,59530,59545,27545,9248
2016.12.15,18:00:00,59565,59640,59490,59640,7787,1387
2016.12.16,09:00:00,59640,59925,59550,59840,30428,11904
2016.12.16,09:30:00,59835,59950,59815,59840,25243,9983
2016.12.16,10:00:00,59835,60060,59750,59935,56192,20659
2016.12.16,10:30:00,59945,59975,59655,59785,47765,18282
2016.12.16,11:00:00,59795,59950,59750,59865,36786,13394
2016.12.16,11:30:00,59865,59990,59820,59905,34549,11521
2016.12.16,12:00:00,59910,59930,59725,59795,36631,12321
2016.12.16,12:30:00,59790,59985,59565,59975,76342,26273
2016.12.16,13:00:00,59980,60340,59940,60170,67574,22732
2016.12.16,13:30:00,60175,60330,60115,60315,36143,12751
2016.12.16,14:00:00,60315,60440,60210,60250,48974,16527
2016.12.16,14:30:00,60255,60390,60225,60265,30888,11168
2016.12.16,15:00:00,60265,60300,60020,60035,38373,12987
2016.12.16,15:30:00,60035,60120,59930,60035,40705,13886
2016.12.16,16:00:00,60035,60090,59810,59820,39532,13529
2016.12.16,16:30:00,59815,59890,59725,59865,31565,10847
2016.12.16,17:00:00,59870,59935,59765,59810,22683,7563
2016.12.16,17:30:00,59800,59805,59415,59490,31916,10346
2016.12.16,18:00:00,59495,59550,59440,59460,7817,1292
2016.12.19,09:00:00,59400,59655,59245,59500,31704,12066
2016.12.19,09:30:00,59500,59545,59370,59480,26423,10566
2016.12.19,10:00:00,59475,59685,59425,59495,40872,17120
2016.12.19,10:30:00,59495,59620,59335,59425,37991,14755
2016.12.19,11:00:00,59430,59665,59310,59645,41064,15496
2016.12.19,11:30:00,59650,59665,59425,59570,34203,12164
2016.12.19,12:00:00,59580,59620,59385,59395,26363,9668
2016.12.19,12:30:00,59400,59405,59065,59090,69091,24394
2016.12.19,13:00:00,59095,59220,59000,59035,39597,13771
2016.12.19,13:30:00,59040,59120,58850,58955,40711,14254
2016.12.19,14:00:00,58955,59015,58805,58925,40403,14442
